"Topic", "Question", "Option A", "Option B", "Option C", "Option D", "Correct Answer"
"Hashing", "What is the worst-case time complexity for searching in a hash table?", "A. O(1)", "B. O(log n)", "C. O(n)", "D. O(n log n)", "C"
"Hashing", "Which type of hash function is often used for strings and involves multiplying by a prime number and taking modulo?", "A. Division Method", "B. Mid-square Method", "C. Polynomial Rolling Hash (Horner's Method)", "D. Folding Method", "C"
"Hashing", "What does 'perfect hashing' guarantee?", "A. O(log n) search time.", "B. O(1) worst-case search time (no collisions for a static set of keys).", "C. Minimal memory usage.", "D. Always produces sorted output.", "B"
"Hashing", "What is 'cryptographic hashing' primarily used for?", "A. Fast data retrieval.", "B. Ensuring data integrity and security (e.g., password storage).", "C. Sorting large datasets.", "D. Dynamic memory allocation.", "B"
"Hashing", "Which of the following is a characteristic of a cryptographic hash function?", "A. Reversibility (can get original data from hash).", "B. High collision probability.", "C. Avalanche effect (small input change causes large hash change).", "D. Fast to compute but slow to verify.", "C"
"Hashing", "What is the main drawback of 'linear probing' for collision resolution?", "A. It uses too much memory.", "B. It leads to primary clustering.", "C. It is very slow for deletions.", "D. It cannot handle many collisions.", "B"
"Hashing", "What is the effect of a very high load factor in a hash table?", "A. Improved search performance.", "B. Increased memory efficiency.", "C. More collisions and degraded performance.", "D. Automatic sorting of elements.", "C"
"Hashing", "When implementing a hash table with chaining, what happens during deletion if multiple keys are in the same chain?", "A. Only the first element in the chain is deleted.", "B. All elements in the chain are deleted.", "C. The specific element is removed from the linked list.", "D. The hash table needs to be rehashed.", "C"
"Hashing", "What is the primary advantage of 'chaining' over 'open addressing'?", "A. No wasted space if the load factor is low.", "B. Simpler implementation of deletion.", "C. Avoids clustering issues.", "D. Uses less memory.", "B"
"Hashing", "What is the ideal distribution of hash values for a hash function?", "A. All values should be the same.", "B. Values should be concentrated in a few bins.", "C. Values should be uniformly distributed across the hash table.", "D. Values should be sorted.", "C"
"Hashing", "If a hash table uses `table_size = 10` and `hash(key) = key % table_size`, where would key `27` be placed?", "A. Index 2", "B. Index 7", "C. Index 0", "D. Index 10", "B"
"Hashing", "What happens when a hash table with open addressing attempts to insert a key into an already occupied slot?", "A. It reports an error.", "B. It uses a probing sequence to find the next available slot.", "C. It creates a new table.", "D. It overwrites the existing data.", "B"
"Hashing", "What is the role of a 'salt' in password hashing?", "A. To make the hash function faster.", "B. To make it harder to use rainbow tables for cracking passwords.", "C. To encrypt the password before hashing.", "D. To add complexity to the hash table size.", "B"
"Hashing", "Which of the following is NOT a typical application of hashing?", "A. Database indexing.", "B. Password storage.", "C. Checking data integrity (checksums).", "D. Maintaining data in sorted order.", "D"
"Hashing", "What is 'rehashing' in hash tables?", "A. Re-calculating the hash value for a single key.", "B. Creating a new, larger hash table and re-inserting all existing elements.", "C. Fixing a corrupted hash table.", "D. Changing the hash function.", "B"
"Hashing", "What is 'secondary clustering'?", "A. A problem where two keys that hash to the same initial position follow the same probe sequence.", "B. A problem specific to chaining.", "C. A general term for any collision.", "D. The opposite of primary clustering.", "A"
"Hashing", "Which open addressing technique eliminates both primary and secondary clustering?", "A. Linear Probing", "B. Quadratic Probing", "C. Double Hashing", "D. None, these are still susceptible to some clustering.", "D"
"Hashing", "What is 'table doubling' in dynamic hash tables?", "A. Increasing the hash table size by two when rehashing.", "B. Using two hash tables at all times.", "C. Storing each element twice.", "D. Duplicating the keys.", "A"
"Hashing", "What is the space complexity of a hash table?", "A. O(1) (if keys are small)", "B. O(n) where n is the number of elements stored.", "C. O(log n)", "D. O(n^2)", "B"
"Hashing", "In a hash table, what is the 'hash index'?", "A. The original key value.", "B. The calculated address (bucket number) where the key-value pair is stored.", "C. The load factor.", "D. The size of the hash table.", "B"
"Hashing", "Which of the following scenarios would make a hash table search approach problematic?", "A. When O(1) average-case performance is crucial.", "B. When data needs to be retrieved in sorted order.", "C. When frequent insertions and deletions are expected.", "D. When the number of elements is very large.", "B"
"Hashing", "What is the 'division method' for a hash function?", "A. Summing ASCII values and multiplying.", "B. Taking the remainder of the key divided by the table size.", "C. Squaring the key and taking middle digits.", "D. Using a random number generator.", "B"
"Hashing", "What are 'universal hashing' schemes designed to do?", "A. Guarantee O(1) worst-case performance.", "B. Avoid collisions completely.", "C. Choose a hash function randomly from a family of functions to minimize worst-case performance over any fixed set of keys.", "D. Hash any data type without issue.", "C"
"Hashing", "What is the main challenge when implementing deletion in an open-addressed hash table?", "A. It's difficult to find the element.", "B. Simply removing an element can break the search chain for other elements.", "C. It always requires rehashing the table.", "D. It causes memory leaks.", "B"
"Hashing", "To solve the deletion problem in open addressing, what is often used?", "A. Rehashing the entire table.", "B. Marking slots as 'deleted' or 'dummy'.", "C. Using chaining instead.", "D. Disabling deletions.", "B"
"Hashing", "What is the typical time complexity for inserting an element into a hash table in the average case?", "A. O(n)", "B. O(log n)", "C. O(1)", "D. O(n^2)", "C"
"Hashing", "If a hash function `h(key) = key % 7` is used for keys `10, 20, 30`, what are their hash indices?", "A. 3, 6, 2", "B. 3, 0, 2", "C. 3, 6, 4", "D. 3, 0, 4", "B"
"Hashing", "What is the primary role of a 'hash map' or 'dictionary' in programming languages?", "A. To store ordered lists of elements.", "B. To store key-value pairs for fast lookup.", "C. To implement queues and stacks.", "D. To perform mathematical calculations.", "B"
"Hashing", "Which of the following is true about the order of elements in a hash table?", "A. Elements are always stored in sorted order.", "B. Elements are stored in insertion order.", "C. The order of elements is generally not preserved and is arbitrary.", "D. Elements are stored in reverse sorted order.", "C"
"Hashing", "What is a 'bloom filter'?", "A. A type of hash table that allows exact matches.", "B. A probabilistic data structure that checks if an element is *possibly* in a set, with a chance of false positives.", "C. A perfect hash function.", "D. A method for resolving collisions.", "B"
"Hashing", "What is the purpose of 'collision resolution'?", "A. To prevent any collisions from occurring.", "B. To handle situations where different keys map to the same hash bucket.", "C. To improve the hash function's performance.", "D. To increase the size of the hash table.", "B"
"Hashing", "Which type of probing in open addressing calculates the next probe position by adding an increment that increases quadratically?", "A. Linear Probing", "B. Quadratic Probing", "C. Double Hashing", "D. Random Probing", "B"
"Hashing", "What is the primary benefit of a good hash function?", "A. It makes the hash table smaller.", "B. It reduces the number of collisions, leading to faster operations.", "C. It ensures data is always sorted.", "D. It encrypts the data before storage.", "B"
"Hashing", "If a hash table's load factor becomes too high, what is the consequence for search operations?", "A. They become O(1) asymptotically.", "B. They become slower, potentially approaching O(n).", "C. They become faster due to more elements being present.", "D. The hash table crashes.", "B"
"Hashing", "What is the disadvantage of using a very large prime number for the modulo operation in the division method of hashing?", "A. It increases collisions.", "B. It makes calculations slower.", "C. It reduces the uniformity of distribution.", "D. It only works for small keys.", "B"
"Hashing", "Which of the following statements is true about 'Uniform Hashing Assumption'?", "A. Every key is equally likely to hash to any slot, independently of other keys.", "B. All keys are uniformly distributed in the input data.", "C. Hash functions are always perfect.", "D. The load factor is always less than 1.", "A"
"Linked Lists", "Which of the following is NOT an advantage of linked lists over arrays?", "A. Dynamic size", "B. Ease of insertion/deletion", "C. Random access to elements", "D. Efficient memory utilization for varying sizes", "C"
"Linked Lists", "In a singly linked list, what does each node contain?", "A. Data only", "B. Data and a pointer to the previous node", "C. Data and a pointer to the next node", "D. Data and pointers to both previous and next nodes", "C"
"Linked Lists", "What is the time complexity to insert an element at the beginning of a singly linked list?", "A. O(n)", "B. O(log n)", "C. O(1)", "D. O(n^2)", "C"
